province,age_group,sex,population,age_category
Lleida,5 years,total,4965.0,underage
Lleida,6 years,males,2565.0,underage
Lleida,6 years,females,2521.0,underage
Lleida,6 years,total,5086.0,underage
Lleida,7 years,males,2377.0,underage
Lleida,7 years,females,2255.0,underage
Lleida,7 years,total,4632.0,underage
Lleida,8 years,males,2369.0,underage
Lleida,8 years,females,2216.0,underage
Lleida,8 years,total,4585.0,underage
Lleida,9 years,males,2273.0,underage
Lleida,9 years,females,2232.0,underage
Lleida,9 years,total,4505.0,underage
Lleida,10 years,males,2223.0,underage
Lleida,10 years,females,2165.0,underage
Lleida,10 years,total,4388.0,underage
Lleida,11 years,males,2208.0,underage
Lleida,11 years,females,2066.0,underage
Lleida,11 years,total,4274.0,underage
Lleida,12 years,males,2116.0,underage
Lleida,12 years,females,1954.0,underage
Lleida,12 years,total,4070.0,underage
Lleida,13 years,males,2134.0,underage
Lleida,13 years,females,2007.0,underage
Lleida,13 years,total,4141.0,underage
Lleida,14 years,males,2095.0,underage
Lleida,14 years,females,1990.0,underage
Lleida,14 years,total,4085.0,underage
Lleida,15 years,males,2082.0,underage
Lleida,15 years,females,1935.0,underage
Lleida,15 years,total,4017.0,underage
Lleida,16 years,males,2013.0,underage
Lleida,16 years,females,1862.0,underage
Lleida,16 years,total,3875.0,underage
Lleida,17 years,males,1975.0,underage
Lleida,17 years,females,1907.0,underage
Lleida,17 years,total,3882.0,underage
Lleida,18 years,males,2061.0,young
Lleida,18 years,females,1884.0,young
Lleida,18 years,total,3945.0,young
Lleida,19 years,males,2155.0,young
Lleida,19 years,females,1891.0,young
Lleida,19 years,total,4046.0,young
Lleida,20 years,males,2126.0,young
Lleida,20 years,females,2042.0,young
Lleida,20 years,total,4168.0,young
Lleida,21 years,males,2128.0,young
Lleida,21 years,females,2158.0,young
Lleida,21 years,total,4286.0,young
Lleida,22 years,males,2326.0,young
Lleida,22 years,females,2144.0,young
Lleida,22 years,total,4470.0,young
Lleida,23 years,males,2289.0,young
Lleida,23 years,females,2155.0,young
Lleida,23 years,total,4444.0,young
Lleida,24 years,males,2334.0,young
Lleida,24 years,females,2221.0,young
Lleida,24 years,total,4555.0,young
Lleida,25 years,males,2369.0,young
Lleida,25 years,females,2332.0,young
Lleida,25 years,total,4701.0,young
Lleida,26 years,males,2523.0,young
Lleida,26 years,females,2493.0,young
Lleida,26 years,total,5016.0,young
Lleida,27 years,males,2507.0,young
Lleida,27 years,females,2459.0,young
Lleida,27 years,total,4966.0,young
Lleida,28 years,males,2530.0,young
Lleida,28 years,females,2535.0,young
Lleida,28 years,total,5065.0,young
Lleida,29 years,males,2721.0,young
Lleida,29 years,females,2516.0,young
Lleida,29 years,total,5237.0,young
Lleida,30 years,males,2908.0,young
Lleida,30 years,females,2616.0,young
Lleida,30 years,total,5524.0,young
Lleida,31 years,males,2988.0,middle
Lleida,31 years,females,2752.0,middle
Lleida,31 years,total,5740.0,middle
Lleida,32 years,males,3140.0,middle
Lleida,32 years,females,2934.0,middle
Lleida,32 years,total,6074.0,middle
Lleida,33 years,males,3441.0,middle
Lleida,33 years,females,3063.0,middle
Lleida,33 years,total,6504.0,middle
Lleida,34 years,males,3610.0,middle
Lleida,34 years,females,3269.0,middle
Lleida,34 years,total,6879.0,middle
Lleida,35 years,males,3766.0,middle
Lleida,35 years,females,3405.0,middle
Lleida,35 years,total,7171.0,middle
Lleida,36 years,males,4065.0,middle
Lleida,36 years,females,3491.0,middle
Lleida,36 years,total,7556.0,middle
Lleida,37 years,males,4202.0,middle
Lleida,37 years,females,3545.0,middle
Lleida,37 years,total,7747.0,middle
Lleida,38 years,males,4229.0,middle
Lleida,38 years,females,3574.0,middle
Lleida,38 years,total,7803.0,middle
Lleida,39 years,males,4098.0,middle
Lleida,39 years,females,3475.0,middle
Lleida,39 years,total,7573.0,middle
Lleida,40 years,males,4065.0,middle
Lleida,40 years,females,3540.0,middle
Lleida,40 years,total,7605.0,middle
Lleida,41 years,males,3954.0,middle
Lleida,41 years,females,3377.0,middle
Lleida,41 years,total,7331.0,middle
Lleida,42 years,males,3923.0,middle
Lleida,42 years,females,3346.0,middle
